Variable,Contractor,2025,2030,2035,2040,2045,Notes
Storage Volume Trigger for Contingency Conservation (AF),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Santa Clarita Valley Water Agency,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Coachella Valley Water District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Desert Water Agency,1000000,1000000,1000000,1000000,1000000,
Storage Volume Trigger for Contingency Conservation (AF),Metropolitan Water District of Southern California,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Mojave Water Agency,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),San Gorgonio Pass Water Agency,0,0,0,0,0,
Storage Volume Trigger for Contingency Conservation (AF),Ventura County Watershed Protection District,0,0,0,0,0,
