Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Agricultural Use (AFY),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Agricultural Use (AFY),Southern California,Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Agricultural Use (AFY),Southern California,Santa Clarita Water Division,0,0,0,0,0,
Agricultural Use (AFY),Southern California,Metropolitan Water District of Southern California,144000,134000,130000,123000,123000,
Agricultural Use (AFY),Southern California,Mojave Water Agency,20600,20600,20600,20600,20600,
Agricultural Use (AFY),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Agricultural Use (AFY),Southern California,San Bernardino Valley Municipal Water District,0,0,0,0,0,
Agricultural Use (AFY),Southern California,San Gorgonio Pass Water Agency,0,0,0,0,0,
Landscape Use (AFY),Central Valley - Sacramento Valley,City of Folsom,0,0,0,0,0,
Landscape Use (AFY),Central Valley - Sacramento Valley,City of Redding,0,0,0,0,0,
Landscape Use (AFY),Central Valley - Sacramento Valley,City of Roseville,644,765,805,805,805,
Landscape Use (AFY),Central Valley - Sacramento Valley,City of West Sacramento,1200,1200,1190,1170,1190,
Landscape Use (AFY),Central Valley - Sacramento Valley,Yuba City,1025,1100,1200,1325,1450,
Landscape Use (AFY),Central Valley - Sacramento Valley,El Dorado Irrigation District,1480,1480,1480,1480,1480,
Landscape Use (AFY),Central Valley - Sacramento Valley,Placer County Water Agency,3296,3801,4384,5057,5337,
Landscape Use (AFY),Central Valley - Sacramento Valley,Sacramento County Water Agency,6760,8887,11014,12624,14226,
Landscape Use (AFY),Central Valley - Sacramento Valley,San Juan Water District,3244,3328,3418,3503,3525,
Landscape Use (AFY),Central Valley - San Joaquin Valley,City of Coalinga,0,0,0,0,0,
Landscape Use (AFY),Central Valley - San Joaquin Valley,City of Fresno,4490,5035,5422,5809,6196,
Landscape Use (AFY),Central Valley - San Joaquin Valley,City of Tracy,2150.62,2128.39,2114.61,2105.49,1911.89,
Landscape Use (AFY),Central Valley - San Joaquin Valley,Stockton-East Water District,3239,3285,3863,4440,4440,
Landscape Use (AFY),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",4912.133271,5173.133271,5325.133271,5451.133271,5476.133271,
Landscape Use (AFY),San Francisco Bay Area,Alameda County Water District,0,0,0,0,0,
Landscape Use (AFY),San Francisco Bay Area,Contra Costa Water District,1800,1800,1800,1800,1800,
Landscape Use (AFY),San Francisco Bay Area,East Bay Municipal Utilities District,0,0,0,0,0,
Landscape Use (AFY),San Francisco Bay Area,"San Benito County Water District, Zone 6",406,406,406,406,406,
Landscape Use (AFY),San Francisco Bay Area,Santa Clara Valley Water District,0,0,0,0,0,
Landscape Use (AFY),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,38,41,43,46,48,
Landscape Use (AFY),Southern California,Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Landscape Use (AFY),Southern California,Santa Clarita Water Division,39281.76448,39281.76448,41123.09719,40509.31962,40202.43084,
Landscape Use (AFY),Southern California,Metropolitan Water District of Southern California,0,0,0,0,0,
Landscape Use (AFY),Southern California,Mojave Water Agency,1952,2078,2139,2196,2262,
Landscape Use (AFY),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1050,1130,1300,1490,1690,
Landscape Use (AFY),Southern California,San Bernardino Valley Municipal Water District,0,0,0,0,0,
Landscape Use (AFY),Southern California,San Gorgonio Pass Water Agency,3321,3652,4053,4222,4314,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,City of Folsom,2332,2571,2728,2828,2868,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,City of Redding,939,963,990,1018,1048,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,City of Roseville,3393,4525,5341,5341,5341,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,City of West Sacramento,6190,7390,7420,7950,8810,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,Yuba City,1640,1700,1770,1870,1960,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,El Dorado Irrigation District,9770,10410,11410,12470,13510,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,Placer County Water Agency,81547,88155,97473,121992,148682,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,Sacramento County Water Agency,10620,12589,13808,14924,16155,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - Sacramento Valley,San Juan Water District,7262,7349,7416,7568,7715,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - San Joaquin Valley,City of Coalinga,521.7109345,592.2953551,675.155327,764.1530747,0,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - San Joaquin Valley,City of Fresno,72997,76500,79708,82917,86126,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - San Joaquin Valley,City of Tracy,1968.83,2217.64,2470.83,2726.73,3175.56,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Valley - San Joaquin Valley,Stockton-East Water District,203678,205904,209021,212263,215135,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",6712.133271,6973.133271,7425.133271,8751.133271,8776.133271,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",San Francisco Bay Area,Alameda County Water District,20300,20200,20100,20100,20200,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",San Francisco Bay Area,Contra Costa Water District,139300,144600,151400,157100,161400,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",San Francisco Bay Area,East Bay Municipal Utilities District,208346.7961,212827.3724,217307.9487,225148.9571,234110.1096,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",San Francisco Bay Area,"San Benito County Water District, Zone 6",1779,1780,1780,1781,1781,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",San Francisco Bay Area,Santa Clara Valley Water District,290700,279700,280700,282700,288700,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Central Coast,San Luis Obispo County Flood Control & Water Conservation District,4778,4671,4569,4464,4358,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Southern California,Antelope Valley-East Kern Water Agency,19142.50998,21964.24107,22348.30757,23782.64134,24807.59839,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Southern California,Santa Clarita Water Division,35905.98785,35905.98785,40202.43084,43885.09626,47567.76168,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Southern California,Metropolitan Water District of Southern California,540000,558000,563000,563000,564000,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Southern California,Mojave Water Agency,22566.5,27209.5,27313.5,27409.6,27534.6,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3240,3340,3440,3540,3740,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Southern California,San Bernardino Valley Municipal Water District,59508,59508,59508,65452,65452,
"Other Use (AFY) (i.e. Losses, groundwater recharge, sales to other agencies etc.)",Southern California,San Gorgonio Pass Water Agency,3115,4065.6,4560.6,5068.6,5532.6,
