Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency Improvement District No 4,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1989,0,31882,25315,52353,14316,6178,5298,30222,89456,53630,74930,7329,30510,4895,6993,29048,2098,1210,678,13496,83736,1417,0,26971,26971,175000,61709,5691,146079,8447,23247,83093,52886,85817,3725,32162,1635885,53172,13967,62400,18495,11110,12811
1990,0,30500,24056,46000,16436,1864,3775,19625,82500,47534,70100,5189,9207,3500,5000,20841,1500,868,486,10000,26066,1016,0,8139,8139,184000,47886,4149,79055,4829,4601,27401,15956,27391,1124,11038,555960,16045,4573,20313,5581,3352,3870
1991,0,30926,19174,47949,15147,1659,4235,19007,84632,56209,71574,5817,8195,3926,5609,31827,1683,1326,743,11059,23208,1552,0,7245,7245,184000,55409,4601,83437,4305,4096,24390,14223,23864,1000,9616,494868,14282,4071,17698,4968,2984,3447
1992,0,30282,24051,45063,14638,1799,3596,17436,78550,62881,69436,5181,9589,3500,5000,30755,1500,1281,718,10000,27244,1500,0,8449,8449,184000,61707,4030,77367,5594,4544,26449,18884,25878,1085,10428,564957,15488,4414,19191,5497,3236,4240
1993,0,33428,25154,59416,15017,6381,6960,33257,97180,83582,80267,9596,30811,5404,7720,58929,2316,2455,1375,15003,87694,2874,0,27265,27265,157000,0,6396,157640,8447,43993,93789,51698,87273,3847,31578,1619184,54920,15654,62880,18992,11475,12919
1994,0,32374,20435,54565,16972,3943,5796,27893,91868,65970,76578,7961,21213,5374,7677,44141,2303,1839,1030,15532,58302,2153,0,18668,18668,184000,41215,6370,134281,8447,15403,57953,37464,61196,2377,26673,1219880,33936,9673,46943,12069,7090,8810
1995,0,33969,27094,61869,14117,8914,7528,37410,99860,75654,82111,10354,43529,6973,9962,59286,2989,2470,1383,19810,119186,2891,75000,38511,38511,149000,0,8222,210478,8447,57650,100518,78759,119027,5374,40633,2093513,76726,21869,84509,26614,16031,18572
1996,0,34000,27103,62000,12304,7681,7550,36554,100000,73894,82200,10370,40713,6968,9955,59524,2986,2480,1389,19858,111393,2903,75000,35415,35415,149000,0,8208,200146,8447,55411,112902,68356,103143,4631,35246,1933703,66112,18844,73250,23355,13813,16676
1997,0,33160,26366,58160,18754,7923,6644,39274,95800,64550,79296,9118,36949,6160,8800,58572,2640,2440,1367,17564,107615,2856,75000,33205,33205,149000,0,6605,175693,8447,56129,117462,63425,113469,4777,39215,1871313,68197,19438,80818,23449,14249,15855
1998,0,34000,24995,62000,12765,9385,7550,40322,100000,78717,82200,10370,46420,7000,10000,59524,3000,2480,1389,20000,131137,2903,75000,40637,40637,149000,0,8297,213583,8447,68430,137940,83268,133461,5658,50330,2311838,80774,23023,98192,28042,16877,18736
1999,0,34000,27100,62000,15251,6493,7550,33589,100000,56013,82200,10362,30151,5430,7758,59524,2327,2480,1389,15504,87372,2903,75000,27144,27144,149000,0,6424,158476,8447,44584,95434,49632,97696,3915,35962,1590633,55884,15928,71843,19211,11676,12744
